Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.006667,6.12,6.0,6.106667,4.188061,257500
2000-01-03,6.08,6.2,6.066667,6.146667,4.215497,1075000
2000-01-04,6.12,6.2,5.973333,6.033333,4.1377690000000005,806300
2000-01-05,6.0,6.133333,6.0,6.08,4.169775,744300
2000-01-06,6.053333,6.146667,6.04,6.12,4.1972059999999995,1078000
2000-01-07,6.106667,6.193333,6.106667,6.186666000000001,4.242929,1163300
2000-01-10,6.16,6.16,6.0,6.086666999999999,4.174346,713300
2000-01-11,6.086666999999999,6.12,6.0,6.006667,4.11948,1180000
2000-01-12,5.98,6.013333,5.853333,5.96,4.087475,3227500
2000-01-13,5.973333,6.206666,5.966667,6.153333,4.22007,2818800
2000-01-14,6.126666999999999,6.126666999999999,6.073333,6.12,4.1972059999999995,1577500
2000-01-18,6.026667,6.066667,5.993333,6.026667,4.133197,1833800
2000-01-19,6.026667,6.106667,6.026667,6.08,4.169775,2034300
2000-01-20,6.08,6.226666000000001,6.066667,6.186666000000001,4.242929,2671800
2000-01-21,6.24,6.3333330000000005,6.153333,6.1666669999999995,4.229213,1301300
2000-01-24,6.186666000000001,6.28,6.106667,6.12,4.1972059999999995,1238300
2000-01-25,6.093333,6.153333,6.02,6.033333,4.1377690000000005,1046300
2000-01-26,6.053333,6.06,5.893333,5.966667,4.0920510000000005,669300
2000-01-27,5.933333,5.946667,5.853333,5.906667,4.050896,333800
2000-01-28,5.906667,5.926667,5.813333999999999,5.86,4.018895,605500
2000-01-31,5.873333000000001,5.973333,5.76,5.966667,4.0920510000000005,583000
2000-02-01,5.94,5.94,5.8,5.913333000000001,4.055471,328000
2000-02-02,5.893333,6.033333,5.84,5.92,4.060041,587500
2000-02-03,5.893333,6.133333,5.893333,6.046667,4.146914,871800
2000-02-04,6.02,6.02,5.72,5.813333999999999,3.9868879999999995,738800
2000-02-07,5.753334,5.8,5.74,5.76,3.9503120000000003,904500
2000-02-08,5.766667,5.773333999999999,5.66,5.68,3.8954489999999997,513800
2000-02-09,5.7,5.7,5.626666999999999,5.64,3.868015,579300
2000-02-10,5.64,5.773333999999999,5.64,5.64,3.868015,534300
2000-02-11,5.64,5.6666669999999995,5.506667,5.526667,3.790288,816300
2000-02-14,5.54,5.6,5.52,5.553333,3.808578,527500
2000-02-15,5.506667,5.62,5.446667,5.6,3.840582,849300
2000-02-16,5.566667,5.58,5.453333,5.46,3.744567,392500
2000-02-17,5.46,5.506667,5.286667,5.3,3.634837,853800
2000-02-18,5.28,5.4,5.28,5.36,3.675985,933800
2000-02-22,5.426667,5.426667,5.326667,5.373333000000001,3.6851279999999997,742500
2000-02-23,5.306667,5.413333000000001,5.193333,5.353333,3.671413,1015000
2000-02-24,5.326667,5.3333330000000005,4.96,5.1,3.497671,1494300
2000-02-25,4.96,5.126666999999999,4.96,5.026667,3.447379,855800
2000-02-28,5.053333,5.146667,5.026667,5.026667,3.447379,964500
2000-02-29,5.053333,5.093333,5.02,5.08,3.4839559999999996,1187500
2000-03-01,5.053333,5.06,4.946667,5.02,3.442807,485500
2000-03-02,5.04,5.04,4.866667,4.92,3.374226,871800
2000-03-03,4.933333,4.933333,4.793334,4.846667,3.323931,905500
2000-03-06,4.82,4.82,4.693333,4.76,3.264495,470500
2000-03-07,4.8,4.8,4.48,4.58,3.141047,852000
2000-03-08,4.52,4.6,4.486667,4.586666999999999,3.1684900000000003,693800
2000-03-09,4.6,4.673333,4.526667,4.673333,3.2283619999999997,634500
2000-03-10,4.693333,4.693333,4.486667,4.553333,3.1454619999999998,862500
2000-03-13,4.526667,4.66,4.513333,4.526667,3.127042,957000
2000-03-14,4.48,4.693333,4.466667,4.673333,3.2283619999999997,741300
2000-03-15,4.68,4.986667,4.673333,4.973333,3.435601,852000
2000-03-16,5.026667,5.413333000000001,5.02,5.273333999999999,3.642843,796800
2000-03-17,5.246666,5.413333000000001,5.233333,5.3333330000000005,3.6842910000000004,1059300
2000-03-20,5.306667,5.306667,5.186666000000001,5.233333,3.615213,486300
2000-03-21,5.293334,5.326667,5.153333,5.22,3.6059989999999997,382500
2000-03-22,5.193333,5.246666,5.1666669999999995,5.246666,3.624422,342000
2000-03-23,5.22,5.433333,5.12,5.386667,3.721135,627000
2000-03-24,5.36,5.366667,5.28,5.326667,3.6796860000000002,375800
2000-03-27,5.3333330000000005,5.473333,5.3333330000000005,5.42,3.744162,482500
2000-03-28,5.393333,5.653333,5.393333,5.546667,3.831662,504300
2000-03-29,5.553333,5.613333,5.546667,5.573333,3.850085,407500
2000-03-30,5.6,5.84,5.6,5.773333999999999,3.9882440000000003,688000
2000-03-31,5.78,5.9,5.72,5.806667,4.011271,720000
2000-04-03,5.8333330000000005,6.146667,5.8333330000000005,6.113333,4.223117,1045000
2000-04-04,6.113333,6.346667,6.113333,6.28,4.338255,1288800
2000-04-05,6.306667,6.386667,6.286667,6.366667,4.398124,1746300
2000-04-06,6.366667,6.426667,6.233333,6.32,4.365886,1303000
2000-04-07,6.293334,6.3,6.133333,6.24,4.310621,416300
2000-04-10,6.213333,6.213333,6.173333,6.173333,4.264568,594300
2000-04-11,6.173333,6.293334,6.153333,6.24,4.310621,864300
2000-04-12,6.266667,6.52,6.246666,6.38,4.407333,1261800
2000-04-13,6.36,6.413333000000001,6.253334,6.346667,4.384306,666300
2000-04-14,6.293334,6.293334,6.066667,6.086666999999999,4.204697,1033000
2000-04-17,6.06,6.066667,5.893333,6.026667,4.1632489999999995,1206300
2000-04-18,6.0,6.0,5.906667,5.973333,4.126405999999999,743300
2000-04-19,5.986667,5.986667,5.826667,5.9,4.075748,711300
2000-04-20,5.866667,6.08,5.853333,6.033333,4.167855,628000
2000-04-24,6.06,6.366667,6.06,6.22,4.296803,1145500
2000-04-25,6.2,6.2,6.033333,6.04,4.172458,702000
2000-04-26,6.026667,6.113333,5.94,6.1,4.213908,756300
2000-04-27,6.073333,6.073333,5.933333,5.933333,4.098775,655000
2000-04-28,5.906667,5.933333,5.78,5.82,4.0204830000000005,698300
2000-05-01,5.806667,5.86,5.773333999999999,5.846667,4.0389040000000005,1352500
2000-05-02,5.82,5.886667,5.706666,5.853333,4.043514,652500
2000-05-03,5.84,6.04,5.826667,5.92,4.089562,660800
2000-05-04,5.92,6.12,5.786667,6.073333,4.195487,705000
2000-05-05,6.073333,6.073333,5.84,5.96,4.117195,654300
2000-05-08,5.913333000000001,6.12,5.88,6.06,4.186276,990800
2000-05-09,6.04,6.306667,6.04,6.306667,4.356675,645000
2000-05-10,6.28,6.366667,6.2,6.32,4.365886,860500
2000-05-11,6.293334,6.38,6.286667,6.353333,4.388911,564300
